handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,brand
Product_5,Product,Screen Protector,Clevisco's Tempered Glass Screen Protector accessory designed for Tesla Model 3 & Y 2022 Touchscreen -UHD- 99% Transparent&Anti-Glare Tempered Glass/Anti-Grease & Fingerprint/Scratch Resistant,https://static.wixstatic.com/media/7b3e7f_1006a253a319450f9fdd4487c129219d~mv2.jpg;https://static.wixstatic.com/media/7b3e7f_5e9a46019bfd493fa63bd570d3f9d72e~mv2.jpg;https://static.wixstatic.com/media/7b3e7f_4bd9de19ccbc4807a2738b4bce02d89a~mv2.jpg;https://static.wixstatic.com/media/7b3e7f_9cae71d3cfe449b2b9feddef2c383733~mv2.jpg;https://static.wixstatic.com/media/7b3e7f_ab955e04030f4f96a152f27bd2f1259b~mv2.jpg;https://static.wixstatic.com/media/7b3e7f_461e318f0dcc4214896a0370e6979190~mv2.jpg;https://static.wixstatic.com/media/7b3e7f_03cdbc82b7b845daa13dc6e18c5034ae~mv2.jpg;,Automotive;All Products1,T1,ReStock May7,69,,TRUE,,,0,0.2,35,,,,,,,,,,,,,,,,,,,Product Description,"Protection for modern technology is always a given, which is why we have designed a tempered glass protector for the model 3 & model Y screen. The Glass protector prolongs the life of your car & makes you feel comfortable with technlogy. We have Tested our product against the 2nd strongest mineral on earth, making Biosis Screen protector the toughest screen protector ever. Because, we know that you love your car more.",Product Features,"<p><strong>Do you wear rings, watches or have keys?</strong> protect your TESLA screen from scratches and keep your screen crisp!</p><br><p><strong>KEEP THE SCREEN BRAND NEW:</strong> To keep your TESLA screen protector clear and dust-free, simply wipe it with a microfiber cloth. No need to use harmful cleaning substances. Keep your screen brand-new.</p><br><p><strong>LASER CUT& PRECISE FIT:</strong> Exclusive design for Tesla Mode 3 and for Tesla model Y, it is compatible with Tesla Model 3 and Model Y 19/20/21/22</p><br><p><strong>HIQH QUALITY ANTI-SCRATCH:</strong> Reinforced glass for twice as much strength as non-tempered alternatives and effective resistance against scratches.</p><br><p><strong>SUPER PROTECTION</strong>;9H Hardness, this glass cover maintains the touch capabilities of your TESLA navigator while ensuring better smooth touching feeling And Scratch resistant; Shock-resistant; anti-oil and anti-fingerprints</p><br><p><strong>EASY TO INSTALL and EASY TO REMOVE.</strong> Premium quality tempered glass (9H) screen protector for the Tesla Model 3;Follow the instruction, it will be very easy to install the screen protector.",,,,,,,,,,,,Clevisco
Product_6,Product,Arc Support,Clevisco's ABS Plastic Full Orthopedic 3-Point Foot & Arc Support. Walk & Run Better Now with Anti-Flat foot Insole,https://static.wixstatic.com/media/7b3e7f_c90fde14b05444bb84cb646a72f924d0~mv2.jpg;https://static.wixstatic.com/media/7b3e7f_671e728487bf48da8e41bd95478040da~mv2.jpg;https://static.wixstatic.com/media/7b3e7f_ee8ba6bfd78940798657a67463836c21~mv2.jpg;https://static.wixstatic.com/media/7b3e7f_266a0f2a88e642b0a623c04afbe4b1ba~mv2.jpg;https://static.wixstatic.com/media/7b3e7f_e0cfd48aa0534280908b9b6dcd59a178~mv2.jpg;https://static.wixstatic.com/media/7b3e7f_9ed98d51144d461f97befa536d3a262e~mv2.jpg;https://static.wixstatic.com/media/7b3e7f_77455b445fee4392a423afeb7483ddb2~mv2.jpg;https://static.wixstatic.com/media/7b3e7f_ee4007865ce14fd787aa982eb26ac1d2~mv2.jpg;https://static.wixstatic.com/media/7b3e7f_657d9c8f3f20400c84375fa598c94abb~mv2.jpg,Self Care;All Products1,21-AT99-DWBY,,49,,TRUE,,,0,0.1,2,Size,DROP_DOWN,Small(35-30);Large(40-45),,,,,,,,,,,,,,,,Product Description,"Being consistant is part of the journey to success. We believe that the journey to the top is difficult but highly rewarding. We believe that with consistancy & strong focus, success would be only few distance away. Walk better with Clevisco's Arc Supports & Start running towards your goals.",Product Features,"<p><strong>[Arch Support Function]</strong> This foot insole provides gentle yet firm arch support for flat feet and relieves plantar fascia pain. It also has cushioning heel pad to relieve the shock of waking up and running and the stress of standing for long periods of time.</p><br><p><strong>[Ergonomic Design] Ergonomic design offers max cushioning and superior comfort for the entire foot. And provides more arch support for the ankle joint, suitable for those who need a combination of cushioning and alignment.</p><br><p><strong>[High Quality]</strong> The foot insoles are soft, light, comfortable, breathable, and non-slip. The cushioning EVA foam base and softened step enhance stability, and facilitate natural foot motion for shock absorption and pain relief.</p><br><p><strong> [deal for Daily Wear]</strong> These arch-support shoe pads are easy to install in all shoes, such as sneakers, boots, casual shoes, high heels, flat shoes, etc</p>",,,,,,,,,,,,Clevisco
Product_7,Product,E-Combo 1,Clevisco's Mouse Pad w. Wireless Charging + Earpods Pro Bundle,https://m.media-amazon.com/images/I/41BFd6D2MKL._AC_SL1000_.jpg;https://static.wixstatic.com/media/7b3e7f_e68dd6f55e804e45939b79e264158155~mv2.jpg; https://static.wixstatic.com/media/7b3e7f_0f2009e4243446a0b2980b0d39068bfd~mv2.jpg,Electronics Deals;Gaming Deals;Deals,YF-GVT5-V1E3,,109,,TRUE,,,InStock,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clevisco
Product_8,Product,E-Combo 2,Clevisco's Mouse Pad w. Wireless Charging + Earpods Fit Bundle,https://m.media-amazon.com/images/I/41czYSuUISL._AC_SL1000_.jpg;https://static.wixstatic.com/media/7b3e7f_e68dd6f55e804e45939b79e264158155~mv2.jpg; https://static.wixstatic.com/media/7b3e7f_f3dfa3084b2b40a0841f9d0740ee8187~mv2.jpg,Electronics Deals;Gaming Deals;Deals,9C-OYUF-G1OE,,109,,TRUE,,,InStock,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clevisco
Product_6,Variant,,,,,0R-WTVT-TEIV,,49,,TRUE,,,0,0.1,2,,,Large(40-45),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clevisco
Product_6,Variant,,,,,13-JBLZ-IWLV,,49,10,TRUE,,,0,0.1,2,,,Small(35-30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clevisco
Product_9,Product,Lumbar Pillow,Clevisco's Lumbar & Full Back Support Memory cushion that is Ergonomic & Customer Designed for Home/Office/Gaming/Travel Seats & Chairs,https://static.wixstatic.com/media/7b3e7f_94c2409ce5f741f0b4fbdcd390d3a0cc~mv2.jpg;https://static.wixstatic.com/media/7b3e7f_19260033f3564f5f8c51420e0c62ba0f~mv2.jpg;https://static.wixstatic.com/media/7b3e7f_e7845c88911345dab2fee403e2e08022~mv2.jpg;https://static.wixstatic.com/media/7b3e7f_f8526531be844375b1c0b82a8d793228~mv2.jpg;https://static.wixstatic.com/media/7b3e7f_ae241a6acecc4a60a9c9b26a1bda5b06~mv2.jpg;https://static.wixstatic.com/media/7b3e7f_d3e5968329e34cbdb24d2a751e3ab500~mv2.jpg;https://static.wixstatic.com/media/7b3e7f_2a40102979784b9d81fddf91dcbdf9aa~mv2.jpg,Self Care;All Products1,OH-4QVL-FRP2,,49,,TRUE,,,0,0.3,30,,,,,,,,,,,,,,,,,,,Product Description,"Change is difficult to accept, Change might be the only way. Change makes way for improvement. Change can power you to success. Use Biosis Lumbar Support to accept the new normal of working & driving.",Product Features,"<p><strong>[Custom & Ergonomic] :</strong>  Designed for 4 major back muscle support points, horacic spine curve, lumbar spine curve, and caudal spine curve - Which means you will always have the correct posture with Biosis Pillow</p><br><p><strong>[Re-engineered Memory Foam] :</strong> Special temperature sensing properties and slow rebound properties that will correct your posture & eventually become the shape of your back.</p><br><p><strong>[Comfortable & Airy fabric] :</strong> Ultra-Smooth texture & Soft fabric keeps your back cool & Comfortable in summer.  the fabric is optimized to help you work,drive& live more!</p><br><p><strong> [Adjustable Straps & Washable] :</strong> Adjust shoulder straps to fit securely on to every chair possible. The Fabric is also machine washable - which means you will never have to worry about hygiene.",,,,,,,,,,,,Clevisco
Product_10,Product,Air Purifier,Clevisco's Air Purifier w. 6-Stage Super Filter HEPA/ANION/Anti-Smoke/dust/Carbon extraction for Home & Office,https://static.wixstatic.com/media/7b3e7f_eb1369d04c5a4ea3b4038fe794c6f804~mv2.jpg;https://static.wixstatic.com/media/7b3e7f_615645082b0a4e63ace3e0238297e11f~mv2.jpg;https://static.wixstatic.com/media/7b3e7f_90edf1b01fa049899ca205e27fa21578~mv2.jpg;https://static.wixstatic.com/media/7b3e7f_31b5c1b64b7e4895937f806c2aa1c5cc~mv2.jpg;https://static.wixstatic.com/media/7b3e7f_ae975bab25d343e4a696f1541e2ddb45~mv2.jpg;https://static.wixstatic.com/media/7b3e7f_73af644291f84d66b32d3bb6e58f9184~mv2.jpg;https://static.wixstatic.com/media/7b3e7f_3721b4838a834853bd7d66886fd4b8c8~mv2.jpg,Electronics;Home & Kitchen;All Products1,LR-APOW-FL61,,329,,TRUE,,,0,2,120,,,,,,,,,,,,,,,,,,,Product Description," tired of allergies, virus & bacteria? Annoyed with the daily construction around your neighborhood?. Start Breathing fresh air with Clevisco's Air Purifer.",Product Features,"<p><strong>[2x 6 Stage Air Purifier included]:</strong> Combines True HEPA, Activated CARBON. ANION, UV, dust PreFilter and Photocatalyst into 1 Filter. Captures 99.97% of air pollutants as small as 0.3 microns like dust, pollen, smoke, hair, and household odors; also safely breaks down various harmful gases, such as formaldehyde, and VOCs;</p><br><p><strong>[EXTRA REPLACEMENT FILTER] :</strong> RAPEX R1 Air Purifier is the only Air Purifier in the Market that ships with 1 EXTRA Filter right out of the box. This means that RPAEX Air Purifier can keep your home/office air clean for up to 2 Years without needing to look for new Filters!. This also increases the re-sale value of the RAPEX Air Purifier. </p><br><p><strong>[LOW NOISE OUTPUT] :</strong> Virtually Silent Operation - RAPEX R1 Air Purifier will not disturb your sleep, It can be operated in 3-speed modes with noise output less than 40DB, which is the lowest in its class. Perfect for your home or office or Home-office. RAPEX Air Purifier also has Sleep - Fan Speed mode for ultra-quiet purification. </p><br><p><strong>[LED DISPLAY] :</strong> RAPEX R1 Air Purifier Displays Humidity, Temperature, PM 2.5 Value, and Air Quality of your Home/Office. You can use this information to manage the sources of pollution inside your home or adjust FAN depending on the Pollution Level of your Home. </p><br><p><strong>[Upto 30 Metre Square Coverage] : RAPEX R1 Air Purifier was designed for every middle-class Indian house. the 40-meter square coverage is adequate to purify your living room, bedroom, or office. </p><br><p><strong>[TOUCH SCREEN OPERATION/REMOTE CONROL] :</strong> FAN speed can be controlled with touch buttons on the LED DISPLAY, RAPEX R1 Purifier also comes with 12Hr Timer functions and Light modes. The Air Purifier also comes with remote control, so that you can control the Air-purifier at the comfort of your sofa/bed/Chair. </p><br><p><strong>[LOW ENERGY CONSUMPTION] : </strong>The RAPEX R1 Air Purifier was designed with your budget in mind. We understand inflation, we understand how health care has become expensive. The RAPEX Air Purifier is very energy efficient and has a negligible load on your electricity bill",View on amazon.in,https://www.amazon.in/dp/B09RSK9TMX?ref=myi_title_dp#customerReviews,,,,,,,,,,Clevisco
Product_11,Product,Auto Vacuum,Clevisco's Automatic Vacuum with 2 in 1 Sweep & 1200Pa Suction - Works with Bumper Navigation & Cleans room in 70Min Runtime,https://static.wixstatic.com/media/7b3e7f_a03ca80737b3474eb68aa2ae760c4334~mv2.jpg;https://static.wixstatic.com/media/7b3e7f_e876505001a541bb9c3a6713fdafc9ea~mv2.jpg;https://static.wixstatic.com/media/7b3e7f_6b0aeefa657f4fc1848e28302fed08da~mv2.jpg;https://static.wixstatic.com/media/7b3e7f_69d514cbcb70424c8b13f3ed2066e4b6~mv2.jpg;https://static.wixstatic.com/media/7b3e7f_e8590fc6109845d6aff433e36d7ead38~mv2.jpg;https://static.wixstatic.com/media/7b3e7f_2a3dc8530e304c86af2eabd780f59468~mv2.jpg;https://static.wixstatic.com/media/7b3e7f_5cf60497ddee4c468cfb9a295ff64d98~mv2.jpg;https://static.wixstatic.com/media/7b3e7f_d89fb94efb454fb785339cd6b65416f4~mv2.jpg,Electronics;Home & Kitchen;All Products1,N6-NBEB-H38J,,149,,TRUE,,,0,1,60,Color,COLOR,#000000:Black;#ffffff:White,,,,,,,,,,,,,,,,Product Description,"there is always been a disconnections between technology & accessbillity. High-end technlogy comes at a steep price, making it inaccessible to you. We at RAPEX are here to make that connection of technology with you. Using minimum parts, we were able design a Vacuum cleaner that is equivalent to expensive robot vacuums. It is easy, refined & simple to use. Press one button and that RAPEX Automatic vacuum cleans the entire room.",Product Features,"<p><strong>65% Effeciency :</strong> Automatically Remvos Hair, dust & Soft Particles from your home floor. Powered by Simple 1200PA Suctions Motor that can clean 150sqmeter/1614 sqft </p><br><p><strong>70Min Battery Life :</strong> Longest Battery Life in its Class. Our assured that your Home will be clean in just 70 minutes </p><br><p><strong>One Button Control & Low Noise :</strong> No complex or Apps - One touch button is all you need to clean your home. You can sleep with the vacuum running </p><br><p><strong>Extra Brushes & Mop :</strong> Get more for your Money & Never worry about spares. The extra spare parts guarentees 2 years of life before your can plan your next upgrade.",,,,,,,,,,,,Clevisco
Product_11,Variant,,,,,GR-0A1G-9I7O,,149,,TRUE,,,0,1,60,,,#000000:Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clevisco
